Date,Time,Wait Time,Result
09/01/2023,10:22,00:01:40,Abandoned
09/01/2023,10:25,00:01:48,Abandoned
09/01/2023,10:28,00:04:17,Abandoned
10/01/2023,11:11,00:00:07,Abandoned
10/01/2023,12:46,00:03:13,Abandoned
10/01/2023,15:48,00:00:07,Abandoned
16/01/2023,10:10,00:01:57,Abandoned
16/01/2023,17:40,00:03:44,Abandoned
16/01/2023,17:44,00:00:16,Abandoned
18/01/2023,09:58,00:00:06,Abandoned
18/01/2023,13:48,00:00:10,Abandoned
19/01/2023,15:40,00:00:47,Abandoned
20/01/2023,14:59,00:01:50,Abandoned
20/01/2023,15:08,00:03:11,Abandoned
20/01/2023,15:29,00:00:19,Abandoned
20/01/2023,15:49,00:01:25,Abandoned
26/01/2023,11:56,00:00:06,Abandoned
26/01/2023,14:31,00:00:12,Abandoned
26/01/2023,15:51,00:00:10,Abandoned
27/01/2023,17:44,00:01:15,Abandoned
27/01/2023,17:49,00:05:04,Abandoned
30/01/2023,10:07,00:01:43,Abandoned
31/01/2023,09:20,00:01:43,Abandoned
31/01/2023,17:53,00:00:09,Abandoned
06/02/2023,10:25,00:00:59,Abandoned
07/02/2023,09:15,00:00:11,Abandoned
07/02/2023,09:56,00:00:37,Abandoned
10/02/2023,13:14,00:01:07,Abandoned
10/02/2023,17:04,00:01:22,Abandoned
10/02/2023,17:17,00:00:42,Abandoned
13/02/2023,10:14,00:03:02,Abandoned
13/02/2023,10:18,00:09:55,Abandoned
13/02/2023,10:25,00:02:21,Abandoned
17/02/2023,15:46,00:00:09,Abandoned
20/02/2023,08:08,00:00:24,Abandoned
20/02/2023,10:07,00:03:28,Abandoned
20/02/2023,16:49,00:00:27,Abandoned
24/02/2023,12:48,00:00:11,Abandoned
28/02/2023,08:28,00:00:23,Abandoned
28/02/2023,12:07,00:00:11,Abandoned
02/03/2023,16:27,00:00:43,Abandoned
06/03/2023,10:14,00:05:50,Abandoned
06/03/2023,10:21,00:01:28,Abandoned
08/03/2023,13:44,00:01:07,Abandoned
08/03/2023,16:42,00:00:25,Abandoned
13/03/2023,10:25,00:02:03,Abandoned
20/03/2023,10:07,00:03:06,Abandoned
20/03/2023,10:07,00:00:28,Abandoned
21/03/2023,08:56,00:00:06,Abandoned
22/03/2023,08:19,00:00:08,Abandoned
22/03/2023,08:19,00:00:08,Abandoned
22/03/2023,16:31,00:00:57,Abandoned
24/03/2023,12:15,00:00:08,Abandoned
27/03/2023,10:12,00:00:07,Abandoned
27/03/2023,10:22,00:00:06,Abandoned
27/03/2023,15:40,00:01:23,Abandoned
27/03/2023,15:42,00:01:35,Abandoned
27/03/2023,15:43,00:00:09,Abandoned
27/03/2023,17:03,00:00:10,Abandoned
28/03/2023,08:38,00:01:17,Abandoned
28/03/2023,09:00,00:01:30,Abandoned
28/03/2023,09:01,00:00:41,Abandoned
28/03/2023,09:04,00:01:15,Abandoned
28/03/2023,09:05,00:03:01,Abandoned
28/03/2023,09:08,00:00:22,Abandoned
28/03/2023,09:27,00:00:21,Abandoned
28/03/2023,09:35,00:01:55,Abandoned
28/03/2023,11:28,00:00:14,Abandoned
31/03/2023,09:36,00:00:06,Abandoned
03/04/2023,09:59,00:02:06,Abandoned
03/04/2023,10:02,00:01:23,Abandoned
03/04/2023,17:29,00:00:08,Abandoned
04/04/2023,15:08,00:01:02,Abandoned
05/04/2023,08:26,00:00:07,Abandoned
11/04/2023,10:15,00:00:31,Abandoned
11/04/2023,10:18,00:00:21,Abandoned
11/04/2023,10:22,00:02:53,Abandoned
11/04/2023,10:29,00:01:28,Abandoned
11/04/2023,10:31,00:01:15,Abandoned
11/04/2023,10:48,00:00:18,Abandoned
11/04/2023,10:55,00:00:32,Abandoned
11/04/2023,11:28,00:00:19,Abandoned
12/04/2023,11:32,00:00:21,Abandoned
12/04/2023,12:25,00:00:24,Abandoned
12/04/2023,13:35,00:03:57,Abandoned
13/04/2023,11:21,00:00:06,Abandoned
17/04/2023,10:31,00:09:17,Abandoned
17/04/2023,12:02,00:00:11,Abandoned
18/04/2023,15:34,00:00:13,Abandoned
24/04/2023,10:14,00:10:15,Abandoned
24/04/2023,10:28,00:04:02,Abandoned
24/04/2023,10:37,00:00:56,Abandoned
28/04/2023,15:41,00:02:01,Abandoned
02/05/2023,15:12,00:04:51,Abandoned
02/05/2023,15:17,00:03:41,Abandoned
03/05/2023,09:50,00:05:26,Abandoned
03/05/2023,16:31,00:02:52,Abandoned
04/05/2023,10:13,00:01:46,Abandoned
05/05/2023,08:42,00:00:55,Abandoned
05/05/2023,09:24,00:00:59,Abandoned
05/05/2023,10:31,00:03:29,Abandoned
09/05/2023,12:46,00:02:17,Abandoned
09/05/2023,12:50,00:00:32,Abandoned
15/05/2023,10:05,00:01:25,Abandoned
15/05/2023,10:07,00:03:02,Abandoned
15/05/2023,10:18,00:01:50,Abandoned
15/05/2023,15:45,00:05:01,Abandoned
16/05/2023,08:22,00:00:14,Abandoned
16/05/2023,08:23,00:01:35,Abandoned
16/05/2023,09:05,00:00:30,Abandoned
16/05/2023,13:12,00:00:24,Abandoned
16/05/2023,13:22,00:02:17,Abandoned
17/05/2023,10:43,00:00:53,Abandoned
17/05/2023,16:19,00:01:18,Abandoned
17/05/2023,17:27,00:00:22,Abandoned
18/05/2023,08:19,00:01:24,Abandoned
18/05/2023,09:15,00:01:27,Abandoned
19/05/2023,12:41,00:00:10,Abandoned
23/05/2023,13:57,00:01:57,Abandoned
25/05/2023,16:17,00:00:09,Abandoned
25/05/2023,16:45,00:00:53,Abandoned
26/05/2023,11:42,00:00:51,Abandoned
30/05/2023,11:05,00:01:56,Abandoned
30/05/2023,11:09,00:02:25,Abandoned
01/06/2023,12:20,00:02:06,Abandoned
01/06/2023,12:24,00:02:41,Abandoned
02/06/2023,09:42,00:00:11,Abandoned
